Country,Desc_country,SSM,LEI_Code,Name,BankNameShort,Finrep,Fin_year_end,Periods,TR_16,LEI_Code_TR16,TR_15,LEI_Code_TR15
FR,France,Y,969500TVVZM86W7W5I94,CRH (Caisse de Refinancement de l'Habitat),CRH,No FINREP,31/12,Dec 2016; Jun 2017,Y,969500TVVZM86W7W5I94,Y,969500TVVZM86W7W5I94
FR,France,Y,FR9695005MSX1OYEMGDF,Groupe BPCE,Groupe BPCE,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,FR9695005MSX1OYEMGDF,Y,9695005MSX1OYEMGDF46
FR,France,Y,FR969500TJ5KRTCJQWXH,Groupe Crédit Agricole,Groupe Credit Agricole,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,FR969500TJ5KRTCJQWXH,Y,969500TJ5KRTCJQWXH05
FR,France,Y,96950066U5XAAIRCPA78,La Banque Postale,La Banque Postale,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,96950066U5XAAIRCPA78,Y,96950066U5XAAIRCPA78
FR,France,Y,96950001WI712W7PQG45,RCI banque (Renault Crédit International),RCI banque,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,96950001WI712W7PQG45,Y,96950001WI712W7PQG45
FR,France,Y,549300HFEHJOXGE4ZE63,SFIL (Société de Financement Local),SFIL,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300HFEHJOXGE4ZE63,Y,549300HFEHJOXGE4ZE63
FR,France,Y,O2RNE8IBXP4R0TD8PU41,Société Générale SA,SocGen,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,O2RNE8IBXP4R0TD8PU41,Y,O2RNE8IBXP4R0TD8PU41
DE,Germany,Y,EZKODONU5TYHW4PP1R34,Aareal Bank AG,Aareal Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,EZKODONU5TYHW4PP1R34,Y,EZKODONU5TYHW4PP1R34
DE,Germany,Y,VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,Bayerische Landesbank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,VDYMYTQGZZ6DU0912C88,Y,VDYMYTQGZZ6DU0912C88
DE,Germany,Y,851WYGNLUQLFZBSYGB56,Commerzbank AG,Commerzbank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,851WYGNLUQLFZBSYGB56,Y,851WYGNLUQLFZBSYGB56
DE,Germany,Y,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DekaBank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,0W2PZJM8XOY22M4GG883,Y,0W2PZJM8XOY22M4GG883
DE,Germany,Y,5299007S3UH5RKUYDA52,Deutsche Apotheker- und Ärztebank eG,Deutsche Apothekerbank,No FINREP,31/12,Dec 2016; Jun 2017,Y,5299007S3UH5RKUYDA52,Y,5299007S3UH5RKUYDA52
DE,Germany,Y,7LTWFZYICNSX8D621K86,Deutsche Bank AG,Deutsche Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,7LTWFZYICNSX8D621K86,Y,7LTWFZYICNSX8D621K86
DE,Germany,Y,DZZ47B9A52ZJ6LT6VV95,Deutsche Pfandbriefbank AG,Deutsche Pfandbriefbank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,DZZ47B9A52ZJ6LT6VV95,Y,52990082YOVOZIC8QX60
DE,Germany,Y,529900HNOAA1KXQJUQ27,Deutsche Zentral-Genossenschaftsbank AG,DZ Genossenschaftsbank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,529900HNOAA1KXQJUQ27,Y,529900HNOAA1KXQJUQ27
DE,Germany,Y,391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,S Finanzgruppe,Yes - GAAP,31/12,Dec 2016; Jun 2017,Y,391200EEGLNXBBCVKC73,Y,391200EEGLNXBBCVKC73
DE,Germany,Y,529900JZTYE3W7WQH904,HASPA Finanzholding AG,HASPA Finanzholding,Yes - GAAP,31/12,Dec 2016; Jun 2017,Y,529900JZTYE3W7WQH904,Y,529900JZTYE3W7WQH904
DE,Germany,Y,529900OQ416JMY9LQO42,HSH Beteiligungs Management GmbH,HSH Beteiligung,Yes - IFRS,31/12,Dec 2016; Jun 2017,N,,N,
DE,Germany,Y,B81CK4ESI35472RHJ606,Landesbank Baden-Württemberg,LBBW,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,B81CK4ESI35472RHJ606,Y,B81CK4ESI35472RHJ606
DE,Germany,Y,DIZES5CFO5K3I5R58746,Landesbank Hessen-Thüringen Girozentrale,HELABA,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,DIZES5CFO5K3I5R58746,Y,DIZES5CFO5K3I5R58746
DE,Germany,Y,0SK1ILSPWNVBNQWU0W18,Landeskreditbank Baden-Württemberg–Förderbank,L Bank,No FINREP,31/12,Dec 2016; Jun 2017,Y,0SK1ILSPWNVBNQWU0W18,Y,0SK1ILSPWNVBNQWU0W18
DE,Germany,Y,529900Z3J0N6S0F7CT25,Landwirtschaftliche Rentenbank,Rentenbank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,529900Z3J0N6S0F7CT25,Y,529900Z3J0N6S0F7CT25
DE,Germany,Y,529900GM944JT8YIRL63,Münchener Hypothekenbank eG,Munich Hyp,No FINREP,31/12,Dec 2016; Jun 2017,Y,529900GM944JT8YIRL63,Y,529900GM944JT8YIRL63
DE,Germany,Y,DSNHHQ2B9X5N6OUJ1236,Norddeutsche Landesbank Girozentrale ,NordLB,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,DSNHHQ2B9X5N6OUJ1236,Y,DSNHHQ2B9X5N6OUJ1236
DE,Germany,Y,52990002O5KK6XOGJ020,NRW.Bank ,NRW Bank,Yes - GAAP,31/12,Dec 2016; Jun 2017,Y,52990002O5KK6XOGJ020,Y,52990002O5KK6XOGJ020
DE,Germany,Y,529900V3O1M5IHMOSF46,State Street Europe Holdings Germany S.a.r.l. & Co. KG,State Street Europe,Yes - GAAP,31/12,Dec 2016; Jun 2017,N,,N,
GR,Greece,Y,5299009N55YRQC69CN08,Alpha Bank AE,Alpha Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,5299009N55YRQC69CN08,N,
GR,Greece,Y,JEUVK5RWVJEN8W0C9M24,Eurobank Ergasias SA,Eurobank Ergasias,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,JEUVK5RWVJEN8W0C9M24,N,
GR,Greece,Y,5UMCZOEYKCVFAW8ZLO05,National Bank of Greece SA,National Bank of Greece,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,5UMCZOEYKCVFAW8ZLO05,N,
GR,Greece,Y,M6AD1Y1KW32H8THQ6F76,Piraeus Bank SA,Piraeus Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,M6AD1Y1KW32H8THQ6F76,N,
HU,Hungary,N,529900W3MOO00A18X956,OTP Bank Nyrt.,OTP Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,529900W3MOO00A18X956,Y,529900W3MOO00A18X956
IE,Ireland,Y,3U8WV1YX2VMUHH7Z1Q21,"Allied Irish Banks, Plc",Allied Irish Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,3U8WV1YX2VMUHH7Z1Q21,Y,3U8WV1YX2VMUHH7Z1Q21
IE,Ireland,Y,Q2GQA2KF6XJ24W42G291,The Governor and Company of the Bank of Ireland,Bank of Ireland,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,Q2GQA2KF6XJ24W42G291,Y,Q2GQA2KF6XJ24W42G291
IE,Ireland,Y,549300K7L8YW8M215U46,Citibank Holdings Ireland Limited,Citibank Ireland,Yes - IFRS,31/12,Dec 2016; Jun 2017,N,,N,
IE,Ireland,Y,HRRVUBV0XN84YQZT6245,DEPFA BANK Plc,DEPFA BANK,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,HRRVUBV0XN84YQZT6245,N,
IE,Ireland,Y,635400DTNHVYGZODKQ93,Permanent TSB Group Holdings Plc,Permanent TSB,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,635400DTNHVYGZODKQ93,Y,635400DTNHVYGZODKQ93
IT,Italy,Y,F1T87K3OQ2OV1UORLH26,Banca Carige SpA - Cassa di Risparmio di Genova e Imperia,Banca Carige,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,F1T87K3OQ2OV1UORLH26,Y,F1T87K3OQ2OV1UORLH26
IT,Italy,Y,J4CP7MHCXR8DAQMKIL78,Banca Monte dei Paschi di Siena SpA,Banca Monte dei Paschi,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,J4CP7MHCXR8DAQMKIL78,Y,J4CP7MHCXR8DAQMKIL78
IT,Italy,Y,N747OI7JINV7RUUH6190,BPER Banca S.p.A. ,BPER Banca,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,N747OI7JINV7RUUH6190,Y,N747OI7JINV7RUUH6190
IT,Italy,Y,J48C8PCSJVUBR8KCW529,Banca Popolare di Sondrio,Banca Popolare di Sondrio,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,J48C8PCSJVUBR8KCW529,Y,J48C8PCSJVUBR8KCW529
IT,Italy,Y,815600E4E6DCD2D25E30,Banco BPM S.p.A.,Banco BPM,Yes - IFRS,31/12,Jun 2017,N,,N,
IT,Italy,Y,815600AD83B2B6317788,Credito Emiliano Holding SpA,Credito Emiliano,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,815600AD83B2B6317788,Y,815600AD83B2B6317788
IT,Italy,Y,NNVPP80YIZGEY2314M97,Iccrea Banca Spa Istituto Centrale del Credito Cooperativo,Iccrea Banca,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,815600D79C96B9661149,N,
IT,Italy,Y,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo SpA,Intesa Sanpaolo,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,2W8N8UU78PMDQKZENC08,Y,2W8N8UU78PMDQKZENC08
IT,Italy,Y,PSNL19R2RXX5U3QWHI44,Mediobanca - Banca di Credito Finanziario SpA,Mediobanca,Yes - IFRS,30/06,Dec 2016; Jun 2017,Y,PSNL19R2RXX5U3QWHI44,Y,PSNL19R2RXX5U3QWHI44
IT,Italy,Y,549300TRUWO2CD2G5692,UniCredit SpA,UniCredit,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300TRUWO2CD2G5692,Y,549300TRUWO2CD2G5692
IT,Italy,Y,81560097964CBDAED282,Unione di Banche Italiane SCpA,UBI,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,81560097964CBDAED282,Y,81560097964CBDAED282
LV,Latvia,Y,549300IHIJ7SCANBWN17,ABLV Bank,ABLV Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300IHIJ7SCANBWN17,Y,549300IHIJ7SCANBWN17
LU,Luxembourg,Y,R7CQUF1DQM73HUTV1078,"Banque et Caisse d'Epargne de l'Etat, Luxembourg",BCEE Luxembourg,No FINREP,31/12,Dec 2016; Jun 2017,Y,R7CQUF1DQM73HUTV1078,Y,R7CQUF1DQM73HUTV1078
LU,Luxembourg,Y,7W1GMC6J4KGLBBUSYP52,J.P. Morgan Bank Luxembourg S.A.,JP Morgan Luxembourg,No FINREP,31/12,Dec 2016; Jun 2017,N,,N,
LU,Luxembourg,Y,549300AUUQG072ATL746,Precision Capital S.A.,Precision Capital,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300AUUQG072ATL746,Y,549300AUUQG072ATL746
LU,Luxembourg,Y,549300IVXKQHV6O7PY61,RBC Investor Services Bank S.A.,RBC Investor Services,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300IVXKQHV6O7PY61,N,
LU,Luxembourg,Y,RNVZOEETEJ32KW0QXS82,State Street Bank Luxembourg S.A.,State Street Luxembourg,No FINREP,31/12,Dec 2016; Jun 2017,Y,RNVZOEETEJ32KW0QXS82,N,
MT,Malta,Y,529900RWC8ZYB066JF16,Bank of Valletta Plc,Bank of Valletta,Yes - IFRS,30/09,Dec 2016; Jun 2017,Y,529900RWC8ZYB066JF16,Y,529900RWC8ZYB066JF16
MT,Malta,Y,213800EUDXECGWMKKR98,Commbank Europe Ltd,Commbank Europe,No FINREP,30/06,Dec 2016; Jun 2017,Y,213800EUDXECGWMKKR98,N,
MT,Malta,Y,213800TC9PZRBHMJW403,MeDirect Group Limited,MeDirect Group,Yes - IFRS,31/03,Dec 2016; Jun 2017,Y,213800TC9PZRBHMJW403,N,
NL,Netherlands,Y,724500DWE10NNL1AXZ52,ABN AMRO Group N.V.,ABN AMRO Group,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,724500DWE10NNL1AXZ52,Y,724500DWE10NNL1AXZ52
NL,Netherlands,Y,DG3RU1DBUFHT4ZF9WN62,Coöperatieve Rabobank U.A.,Rabobank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,DG3RU1DBUFHT4ZF9WN62,Y,DG3RU1DBUFHT4ZF9WN62
NL,Netherlands,Y,549300NYKK9MWM7GGW15,ING Groep N.V.,ING Groep,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300NYKK9MWM7GGW15,Y,549300NYKK9MWM7GGW15
NL,Netherlands,Y,529900GGYMNGRQTDOO93,N.V. Bank Nederlandse Gemeenten,BNG,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,529900GGYMNGRQTDOO93,Y,529900GGYMNGRQTDOO93
NL,Netherlands,Y,JLP5FSPH9WPSHY3NIM24,Nederlandse Waterschapsbank N.V. ,Waterschapsbank,No FINREP,31/12,Dec 2016; Jun 2017,Y,JLP5FSPH9WPSHY3NIM24,Y,JLP5FSPH9WPSHY3NIM24
NL,Netherlands,Y,724500VLXQUMMD5BJB61,de Volksholding B.V. ,de Volksholding,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,724500VLXQUMMD5BJB61,Y,72450032NPOX5UJQTI97
NO,Norway,N,549300GKFG0RYRRQ1414,DNB Bank ASA,DNB Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300GKFG0RYRRQ1414,Y,549300GKFG0RYRRQ1414
NO,Norway,N,7V6Z97IO7R1SEAO84Q32,SpareBank 1 SMN,SpareBank 1 SMN,Yes - IFRS,31/12,Dec 2016; Jun 2017,N,,N,
NO,Norway,N,549300Q3OIWRHQUQM052,SpareBank 1 SR-Bank ASA ,SpareBank 1 SR Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300Q3OIWRHQUQM052,N,
PL,Poland,N,P4GTT6GF1W40CVIMFR43,Powszechna Kasa Oszczędności Bank Polski SA,PKO Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,P4GTT6GF1W40CVIMFR43,Y,P4GTT6GF1W40CVIMFR43
PL,Poland,N,5493000LKS7B3UTF7H35,Bank Polska Kasa Opieki SA,Bank Polska Kasa Opieki,Yes - IFRS,31/12,Jun 2017,N,,N,
PT,Portugal,Y,JU1U6S0DG9YLT7N8ZV32,Banco Comercial Português SA,BCP,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,JU1U6S0DG9YLT7N8ZV32,Y,JU1U6S0DG9YLT7N8ZV32
PT,Portugal,Y,529900H2MBEC07BLTB26,"Caixa Central de Crédito Agrícola Mútuo, CRL",Caixa Central,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,529900H2MBEC07BLTB26,N,
PT,Portugal,Y,2138004FIUXU3B2MR537,Caixa Económica Montepio Geral,Caixa Economica,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,2138004FIUXU3B2MR537,N,
PT,Portugal,Y,TO822O0VT80V06K0FH57,Caixa Geral de Depósitos SA,Caixa Geral,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,TO822O0VT80V06K0FH57,Y,TO822O0VT80V06K0FH57
PT,Portugal,Y,5493009W2E2YDCXY6S81,Novo Banco,Novo Banco,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,5493009W2E2YDCXY6S81,N,
RO,Romania,N,549300RG3H390KEL8896,Banca Transilvania,Banca Transilvania,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300RG3H390KEL8896,N,
SI,Slovenia,Y,549300271OUEJT4RYD30,Abanka d.d.,Abanka,Yes - IFRS,31/12,Dec 2016; Jun 2017,N,,N,
SI,Slovenia,Y,222100ZXZ9BRGDMKXL75,Biser Topco S.a.r.l.,Biser Topco,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300J0GSZ83GTKBZ89,Y,549300J0GSZ83GTKBZ89
SI,Slovenia,Y,5493001BABFV7P27OW30,"NOVA LJUBLJANSKA BANKA D.D., LJUBLJANA",NOVA LJUBLJANSKA BANKA,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,5493001BABFV7P27OW30,Y,5493001BABFV7P27OW30
ES,Spain,Y,9598003BP0LHPHDWV834,ABANCA Holding Financiero,ABANCA Holding ,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,9598003BP0LHPHDWV834,Y,95980020140005986047
ES,Spain,Y,K8MS7FD7N5Z2WQ51AZ71,"Banco Bilbao Vizcaya Argentaria, SA",BBVA,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,K8MS7FD7N5Z2WQ51AZ71,Y,K8MS7FD7N5Z2WQ51AZ71
ES,Spain,Y,95980020140005881190,Banco de Crédito Social Cooperativo SA’,Banco de Credito Social,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,95980020140005881190,Y,95980020140005881190
ES,Spain,Y,SI5RG2M0WQQLZCXKRM20,"Banco de Sabadell, SA",Banco de Sabadell,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,SI5RG2M0WQQLZCXKRM20,Y,SI5RG2M0WQQLZCXKRM20
ES,Spain,Y,549300PY124PITBSWN73,Banco Mare Nostrum,Banco Mare Nostrum,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300PY124PITBSWN73,Y,549300PY124PITBSWN73
ES,Spain,Y,5493006QMFDDMYWIAM13,Banco Santander SA,Banco Santander,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,5493006QMFDDMYWIAM13,Y,5493006QMFDDMYWIAM13
ES,Spain,Y,VWMYAEQSTOPNV0SUGU82,Bankinter SA,Bankinter,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,VWMYAEQSTOPNV0SUGU82,Y,VWMYAEQSTOPNV0SUGU82
ES,Spain,Y,549300GT0XFTFHGOIS94,"BFA Tenedora de Acciones, S.A.U.",BFA ,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300TJUHHEE8YXKI59,Y,549300TJUHHEE8YXKI59
ES,Spain,Y,959800DQQUAMV0K08004,Criteria Caixa S.A.U.,Criteria Caixa,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,959800DQQUAMV0K08004,Y,959800DQQUAMV0K08004
ES,Spain,Y,549300OLBL49CW8CT155,Ibercaja Banco,Ibercaja Banco,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300OLBL49CW8CT155,Y,549300OLBL49CW8CT155
ES,Spain,Y,549300U4LIZV0REEQQ46,Kutxabank,Kutxabank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,549300U4LIZV0REEQQ46,Y,549300U4LIZV0REEQQ46
ES,Spain,Y,635400XT3V7WHLSFYY25,Liberbank,Liberbank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,635400XT3V7WHLSFYY25,Y,635400XT3V7WHLSFYY25
ES,Spain,Y,5493007SJLLCTM6J6M37,Unicaja Banco S.A.,Unicaja Banco,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,5493007SJLLCTM6J6M37,Y,5493007SJLLCTM6J6M37
SE,Sweden,N,EV2XZWMLLXF2QRX0CD47,Kommuninvest - group,Kommuninvest,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,EV2XZWMLLXF2QRX0CD47,N,
SE,Sweden,N,549300C6TUMDXNOVXS82,Länsförsäkringar Bank AB - group,Lansforsakringar,Yes - IFRS,31/12,Dec 2016; Jun 2017,N,,N,
SE,Sweden,N,6SCPQ280AIY8EP3XFW53,Nordea Bank - group,Nordea Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,6SCPQ280AIY8EP3XFW53,Y,6SCPQ280AIY8EP3XFW53
SE,Sweden,N,H0YX5LBGKDVOWCXBZ594,SBAB Bank AB - group,SBAB Bank,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,H0YX5LBGKDVOWCXBZ594,N,
SE,Sweden,N,F3JS33DEI6XQ4ZBPTN86,Skandinaviska Enskilda Banken - group,SEB,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,F3JS33DEI6XQ4ZBPTN86,Y,F3JS33DEI6XQ4ZBPTN86
SE,Sweden,N,NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - group,Svenska Handelsbanken,Yes - IFRS,31/12,Dec 2016; Jun 2017,Y,NHBDILHZTYCNBV5UYZ31,Y,NHBDILHZTYCNBV5UYZ31
